Date,Weekday,Daypart,OWNER,Station,Time Played,Artist,Title,Rel. Date,GRC,genre,ensemble,gender,race,b2b_gender
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,8:57 am,"NICHOLS, JOE",Gimmie That Girl,2009,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:05 am,"MCCOLLUM, PARKER",Pretty Heart,2019,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:10 am,"DAVIS, JORDAN",Slow Dance In A Parking Lot,2017,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:13 am,"MOORE, JUSTIN",Why We Drink,2019,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:16 am,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:20 am,"COMBS, LUKE",When It Rains It Pours,2017,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:23 am,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:31 am,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:34 am,"STAPLETON, CHRIS",Starting Over,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:38 am,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,9:42 am,"RICE, CHASE/FLORIDA GEORGIA LINE",Drinkin' Beer Talkin' God Amen,2020,R,c-,collab,men,white,B2Bman
